State,Pop. dens. Rank,Density(Pop./mi?),Density(Pop./km?),Pop.Rank,2015 population,Land Rank,Land area(mi?),Land area(km?)
New Jersey,1,"1,218",470,11,"8,958,013",46,"7,354","19,046.8"
Rhode Island,2,"1,021",394,43,"1,056,298",50,"1,034","2,678.0"
Massachusetts,3,871,336,15,"6,794,422",45,"7,800","20,201.9"
Connecticut,4,741,286,29,"3,590,886",48,"4,842","12,540.7"
Maryland,5,618,238,19,"6,006,401",42,"9,707","25,141.0"
Delaware,6,485,187,45,"945,934",49,"1,949","5,047.9"
New York,7,420,162,4,"19,795,791",30,"47,126","122,055.8"
Florida,8,378,145,3,"20,271,272",26,"53,625","138,888.1"
Pennsylvania,9,286,110,6,"12,802,503",32,"44,743","115,883.8"
Ohio,10,284,109,7,"11,613,423",35,"40,861","105,829.5"
North Carolina,11,254,98,9,"10,042,802",36,"39,490","102,278.6"
California,12,251,97,1,"39,144,818",3,"163,696","423,970.7"
Illinois,13,231,89,5,"12,859,995",24,"55,519","143,793.5"
Hawaii,14,222,86,40,"1,431,603",47,"6,423","16,635.5"
Indiana,15,184,71,16,"6,619,680",38,"35,826","92,788.9"
Georgia,16,177,68,8,"10,214,860",21,"57,513","148,958.0"
Michigan,17,175,67,10,"9,922,576",22,"56,539","146,435.3"
Virginia,18,172,66,12,"8,382,993",29,"48,618","125,920.0"
South Carolina,19,162,62,23,"4,896,146",40,"30,061","77,857.6"
Tennessee,20,160,61,17,"6,600,299",34,"41,235","106,798.2"
New Hampshire,21,148,57,41,"1,330,608",44,"8,953","23,188.2"
Kentucky,22,112,43,26,"4,425,092",37,"39,486","102,268.3"
Louisiana,23,108,41,25,"4,670,724",33,"43,204","111,897.8"
Washington,24,107,41,13,"7,170,351",20,"66,456","172,120.2"
Wisconsin,25,106,41,20,"5,771,337",25,"54,158","140,268.6"
Texas,26,105,40,2,"27,469,114",2,"261,232","676,587.8"
Alabama,27,95,37,24,"4,858,979",28,"50,645","131,169.9"
Missouri,28,88,34,18,"6,083,672",18,"68,742","178,041.0"
West Virginia,29,76,29,38,"1,844,128",41,"24,038","62,258.1"
Minnesota,30,68,26,21,"5,489,594",14,"79,627","206,233.0"
Vermont,31,67,26,49,"626,042",43,"9,217","23,871.9"
Mississippi,32,63,24,32,"2,992,333",31,"46,923","121,530.0"
Arizona,33,60,23,14,"6,828,065",6,"113,594","294,207.1"
Arkansas,34,57,22,33,"2,978,204",27,"52,035","134,770.0"
Oklahoma,35,57,22,28,"3,911,338",19,"68,595","177,660.2"
Iowa,36,55,21,30,"3,123,899",23,"55,857","144,669.0"
Colorado,37,52,20,22,"5,456,574",8,"103,642","268,431.5"
Maine,38,43,16,42,"1,329,328",39,"30,843","79,883.0"
Oregon,39,41,16,27,"4,028,977",10,"95,988","248,607.8"
Utah,40,36,14,31,"2,995,919",12,"82,170","212,819.3"
Kansas,41,36,14,34,"2,911,641",13,"81,759","211,754.8"
Nevada,42,26,10,35,"2,890,845",7,"109,781","284,331.5"
Nebraska,43,24,9,37,"1,896,190",15,"76,824","198,973.2"
Idaho,44,20,7,39,"1,654,930",11,"82,643","214,044.4"
New Mexico,45,17,6,36,"2,085,109",5,"121,298","314,160.4"
South Dakota,46,11,4,46,"858,469",16,"75,811","196,349.6"
North Dakota,47,10,4,47,"756,927",17,"69,001","178,711.8"
Montana,48,7,2,44,"1,032,949",4,"145,546","376,962.4"
Wyoming,49,6,2,50,"586,107",9,"97,093","251,469.7"
Alaska,50,1,0,48,"738,432",1,"570,641","1,477,953.4"
