ID	Target	Untarget
MTBLS10	1	0
MTBLS103	1	1
MTBLS107	1	1
MTBLS108	1	1
MTBLS109	1	1
MTBLS110	1	1
MTBLS111	1	1
MTBLS119	0	1
MTBLS120	0	1
MTBLS124	0	1
MTBLS125	0	1
MTBLS126	0	1
MTBLS127	0	1
MTBLS128	1	0
MTBLS129	0	1
MTBLS135	2	0
MTBLS137	0	1
MTBLS140	0	1
MTBLS143	1	1
MTBLS144	0	1
MTBLS146	0	1
MTBLS148	0	1
MTBLS154	1	1
MTBLS155	1	1
MTBLS157	1	1
MTBLS160	1	1
MTBLS163	1	0
MTBLS165	0	1
MTBLS168	0	1
MTBLS17	0	1
MTBLS173	1	0
MTBLS175	1	1
MTBLS178	0	1
MTBLS18	0	1
MTBLS185	0	1
MTBLS188	0	1
MTBLS19	0	1
MTBLS193	0	1
MTBLS194	1	0
MTBLS196	0	1
MTBLS197	0	1
MTBLS198	0	1
MTBLS2	0	1
MTBLS20	0	1
MTBLS203	0	1
MTBLS209	1	1
MTBLS213	0	1
MTBLS214	0	1
MTBLS216	0	1
MTBLS217	0	1
MTBLS218	0	1
MTBLS225	1	0
MTBLS227	0	1
MTBLS228	0	1
MTBLS229	0	1
MTBLS233	0	1
MTBLS234	1	0
MTBLS235	1	0
MTBLS243	1	0
MTBLS253	1	0
MTBLS26	0	1
MTBLS263	0	1
MTBLS264	0	1
MTBLS265	0	1
MTBLS266	0	1
MTBLS267	0	1
MTBLS269	0	1
MTBLS270	0	1
MTBLS272	0	1
MTBLS274	0	1
MTBLS276	1	0
MTBLS277	0	1
MTBLS278	0	1
MTBLS279	1	0
MTBLS28	0	1
MTBLS280	1	0
MTBLS281	1	1
MTBLS283	0	1
MTBLS286	0	1
MTBLS287	0	1
MTBLS290	1	0
MTBLS291	0	1
MTBLS292	1	0
MTBLS293	1	1
MTBLS295	1	1
MTBLS296	0	1
MTBLS297	1	1
MTBLS303	1	1
MTBLS304	0	1
MTBLS306	0	1
MTBLS307	0	1
MTBLS309	1	0
MTBLS31	1	0
MTBLS311	1	0
MTBLS312	1	1
MTBLS315	0	1
MTBLS316	0	1
MTBLS32	1	0
MTBLS322	0	1
MTBLS33	1	0
MTBLS330	0	1
MTBLS333	0	1
MTBLS334	0	1
MTBLS335	0	1
MTBLS336	0	1
MTBLS338	0	1
MTBLS34	1	0
MTBLS341	0	1
MTBLS343	0	1
MTBLS352	0	1
MTBLS354	0	1
MTBLS358	1	1
MTBLS359	0	1
MTBLS36	0	1
MTBLS360	0	1
MTBLS362	1	0
MTBLS364	0	1
MTBLS368	1	0
MTBLS372	0	1
MTBLS375	0	1
MTBLS378	0	1
MTBLS379	0	1
MTBLS38	1	0
MTBLS380	1	0
MTBLS381	0	1
MTBLS384	0	1
MTBLS389	1	0
MTBLS39	0	1
MTBLS391	0	1
MTBLS394	0	1
MTBLS396	0	1
MTBLS397	0	1
MTBLS398	0	1
MTBLS4	1	0
MTBLS401	0	1
MTBLS402	0	1
MTBLS403	0	1
MTBLS404	0	1
MTBLS405	1	0
MTBLS408	0	1
MTBLS409	1	0
MTBLS410	1	0
MTBLS413	0	1
MTBLS414	0	1
MTBLS417	0	1
MTBLS418	0	1
MTBLS423	0	1
MTBLS426	0	1
MTBLS428	1	0
MTBLS429	1	0
MTBLS432	0	1
MTBLS433	1	1
MTBLS434	1	0
MTBLS435	1	0
MTBLS436	0	1
MTBLS441	0	1
MTBLS445	0	1
MTBLS449	1	0
MTBLS450	0	1
MTBLS451	0	1
MTBLS452	0	1
MTBLS454	0	1
MTBLS456	0	1
MTBLS459	0	1
MTBLS460	0	1
MTBLS461	1	1
MTBLS462	0	1
MTBLS464	0	1
MTBLS465	0	1
MTBLS470	0	1
MTBLS471	0	1
MTBLS473	0	1
MTBLS478	0	1
MTBLS479	0	1
MTBLS482	0	1
MTBLS483	0	1
MTBLS484	0	1
MTBLS488	1	0
MTBLS49	0	1
MTBLS492	0	1
MTBLS493	0	1
MTBLS494	0	1
MTBLS495	0	1
MTBLS496	0	1
MTBLS517	0	1
MTBLS518	0	1
MTBLS52	0	1
MTBLS520	0	1
MTBLS523	0	1
MTBLS525	0	1
MTBLS527	0	1
MTBLS528	0	1
MTBLS529	0	1
MTBLS530	0	1
MTBLS531	1	0
MTBLS535	1	1
MTBLS539	1	1
MTBLS542	0	1
MTBLS547	1	0
MTBLS548	1	0
MTBLS549	0	1
MTBLS55	0	1
MTBLS552	1	1
MTBLS553	1	1
MTBLS554	1	0
MTBLS555	0	1
MTBLS558	0	1
MTBLS559	0	1
MTBLS561	1	0
MTBLS562	0	1
MTBLS566	1	0
MTBLS567	1	0
MTBLS57	0	1
MTBLS570	0	2
MTBLS571	0	1
MTBLS572	0	1
MTBLS573	0	1
MTBLS574	0	1
MTBLS575	0	1
MTBLS577	0	1
MTBLS578	0	1
MTBLS581	0	1
MTBLS582	0	1
MTBLS59	1	0
MTBLS591	0	1
MTBLS598	1	1
MTBLS61	0	1
MTBLS614	0	1
MTBLS618	0	1
MTBLS62	0	1
MTBLS620	1	0
MTBLS629	0	1
MTBLS63	0	1
MTBLS630	0	1
MTBLS631	0	1
MTBLS64	0	1
MTBLS641	1	0
MTBLS65	0	1
MTBLS650	0	1
MTBLS656	1	0
MTBLS66	1	1
MTBLS661	1	0
MTBLS664	1	1
MTBLS665	0	1
MTBLS67	0	1
MTBLS673	0	1
MTBLS674	1	0
MTBLS68	0	1
MTBLS69	0	1
MTBLS691	1	0
MTBLS694	0	1
MTBLS696	0	1
MTBLS698	0	1
MTBLS703	0	1
MTBLS706	1	0
MTBLS708	0	1
MTBLS72	1	1
MTBLS73	0	1
MTBLS737	0	1
MTBLS750	1	0
MTBLS752	0	1
MTBLS754	0	1
MTBLS756	0	1
MTBLS757	0	1
MTBLS762	0	1
MTBLS763	0	1
MTBLS767	0	1
MTBLS769	0	1
MTBLS770	0	1
MTBLS771	0	1
MTBLS772	0	1
MTBLS773	0	1
MTBLS788	0	1
MTBLS793	0	1
MTBLS81	0	1
MTBLS83	1	0
MTBLS842	0	1
MTBLS85	0	1
MTBLS86	0	1
MTBLS87	0	1
MTBLS88	0	1
MTBLS89	0	1
MTBLS90	0	1
MTBLS92	0	1
MTBLS93	0	1
MTBLS94	0	1
MTBLS99	0	1
